frame_number,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral,face_confidence,region,raw_output,source
7896,happy,0.04939458161709199,2.154745843621116e-05,0.023888300316269713,98.43593826508155,0.15421202161309253,0.0074311978887735535,1.329120700306934,0.91,"{'x': 593, 'y': 202, 'w': 642, 'h': 642, 'left_eye': (1026, 446), 'right_eye': (792, 458)}","{'angry': 0.04939458161709199, 'disgust': 2.154745843621116e-05, 'fear': 0.023888300316269713, 'happy': 98.43593826508155, 'sad': 0.15421202161309253, 'surprise': 0.0074311978887735535, 'neutral': 1.329120700306934}",Investor 2
7897,happy,0.03289823267188565,8.813561251013698e-05,0.023863182253896876,97.9856966725407,0.1704757203445268,0.0063792733436203505,1.7805998343586822,0.9,"{'x': 591, 'y': 202, 'w': 644, 'h': 644, 'left_eye': (1029, 447), 'right_eye': (790, 460)}","{'angry': 0.03289823267188565, 'disgust': 8.813561251013698e-05, 'fear': 0.023863182253896876, 'happy': 97.9856966725407, 'sad': 0.1704757203445268, 'surprise': 0.0063792733436203505, 'neutral': 1.7805998343586822}",Investor 2
7898,happy,0.01222933060755424,4.54741635488877e-05,0.04800970481731204,97.83772204371954,0.1402941001184702,0.01820294199742058,1.9435020617845131,0.91,"{'x': 591, 'y': 201, 'w': 647, 'h': 647, 'left_eye': (1027, 448), 'right_eye': (792, 458)}","{'angry': 0.01222933060755424, 'disgust': 4.54741635488877e-05, 'fear': 0.04800970481731204, 'happy': 97.83772204371954, 'sad': 0.1402941001184702, 'surprise': 0.01820294199742058, 'neutral': 1.9435020617845131}",Investor 2
7899,happy,0.005015389615437016,7.312288374805576e-06,0.010925780225079507,98.81999492645264,0.05954074440523982,0.006509078957606107,1.0980061255395412,0.9,"{'x': 592, 'y': 201, 'w': 647, 'h': 647, 'left_eye': (1027, 450), 'right_eye': (792, 459)}","{'angry': 0.005015389615437016, 'disgust': 7.312288374805576e-06, 'fear': 0.010925780225079507, 'happy': 98.81999492645264, 'sad': 0.05954074440523982, 'surprise': 0.006509078957606107, 'neutral': 1.0980061255395412}",Investor 2
7900,happy,0.001297182279813569,3.090827860319223e-06,0.005614630572381429,98.95949363708496,0.03266764397267252,0.003585572267184034,0.9973378852009773,0.9,"{'x': 590, 'y': 200, 'w': 647, 'h': 647, 'left_eye': (1027, 449), 'right_eye': (790, 459)}","{'angry': 0.001297182279813569, 'disgust': 3.090827860319223e-06, 'fear': 0.005614630572381429, 'happy': 98.95949363708496, 'sad': 0.03266764397267252, 'surprise': 0.003585572267184034, 'neutral': 0.9973378852009773}",Investor 2
7901,happy,0.0015256761798809748,4.870416319135984e-05,0.06772891501896083,97.70228862762451,0.0476903427625075,0.008241397881647572,2.172474004328251,0.91,"{'x': 586, 'y': 199, 'w': 652, 'h': 652, 'left_eye': (1025, 448), 'right_eye': (789, 459)}","{'angry': 0.0015256761798809748, 'disgust': 4.870416319135984e-05, 'fear': 0.06772891501896083, 'happy': 97.70228862762451, 'sad': 0.0476903427625075, 'surprise': 0.008241397881647572, 'neutral': 2.172474004328251}",Investor 2
7902,happy,0.0003560222921805689,3.0644859094763888e-06,0.0070424786827061325,99.11391139030457,0.012707605492323637,0.0019036238882108591,0.8640817366540432,0.91,"{'x': 589, 'y': 202, 'w': 646, 'h': 646, 'left_eye': (1026, 448), 'right_eye': (790, 458)}","{'angry': 0.0003560222921805689, 'disgust': 3.0644859094763888e-06, 'fear': 0.0070424786827061325, 'happy': 99.11391139030457, 'sad': 0.012707605492323637, 'surprise': 0.0019036238882108591, 'neutral': 0.8640817366540432}",Investor 2
7903,happy,0.0006786444778077971,5.689264065900133e-07,0.0007943235250939202,99.4209825647463,0.009110053903929377,0.0006931636066175726,0.5677449389693104,0.91,"{'x': 592, 'y': 201, 'w': 646, 'h': 646, 'left_eye': (1026, 450), 'right_eye': (792, 461)}","{'angry': 0.0006786444778077971, 'disgust': 5.689264065900133e-07, 'fear': 0.0007943235250939202, 'happy': 99.4209825647463, 'sad': 0.009110053903929377, 'surprise': 0.0006931636066175726, 'neutral': 0.5677449389693104}",Investor 2
7904,happy,0.0015497102140216157,5.8066353858521325e-05,0.07173432386480272,95.95836997032166,0.09700142545625567,0.004531248123385012,3.866759315133095,0.91,"{'x': 588, 'y': 200, 'w': 652, 'h': 652, 'left_eye': (1026, 450), 'right_eye': (792, 461)}","{'angry': 0.0015497102140216157, 'disgust': 5.8066353858521325e-05, 'fear': 0.07173432386480272, 'happy': 95.95836997032166, 'sad': 0.09700142545625567, 'surprise': 0.004531248123385012, 'neutral': 3.866759315133095}",Investor 2
7905,happy,7.865901263670594e-08,6.53053674505577e-11,4.390464880543732e-06,99.8749852180481,0.0001207566697303264,3.424400674134631e-06,0.12488617794588208,0.9,"{'x': 583, 'y': 198, 'w': 653, 'h': 653, 'left_eye': None, 'right_eye': None}","{'angry': 7.865901263670594e-08, 'disgust': 6.53053674505577e-11, 'fear': 4.390464880543732e-06, 'happy': 99.8749852180481, 'sad': 0.0001207566697303264, 'surprise': 3.424400674134631e-06, 'neutral': 0.12488617794588208}",Investor 2
7906,happy,6.969874899453998e-07,1.1737130364841697e-10,5.569126315663198e-06,99.90344047546387,0.0003189566996297799,2.2868437099532457e-05,0.09621345670893788,0.91,"{'x': 588, 'y': 205, 'w': 644, 'h': 644, 'left_eye': None, 'right_eye': None}","{'angry': 6.969874899453998e-07, 'disgust': 1.1737130364841697e-10, 'fear': 5.569126315663198e-06, 'happy': 99.90344047546387, 'sad': 0.0003189566996297799, 'surprise': 2.2868437099532457e-05, 'neutral': 0.09621345670893788}",Investor 2
7907,happy,1.1724804238610886e-05,2.046478438100241e-09,6.602159601243329e-05,99.71741437911987,0.0008408774192503188,8.657856938043551e-05,0.2815839136019349,0.89,"{'x': 588, 'y': 208, 'w': 643, 'h': 643, 'left_eye': None, 'right_eye': None}","{'angry': 1.1724804238610886e-05, 'disgust': 2.046478438100241e-09, 'fear': 6.602159601243329e-05, 'happy': 99.71741437911987, 'sad': 0.0008408774192503188, 'surprise': 8.657856938043551e-05, 'neutral': 0.2815839136019349}",Investor 2
7908,happy,6.560330945148962e-06,1.0299575081695878e-08,0.0006673034022242064,99.29229021072388,0.0006666355147899594,0.00021628311515087262,0.706153130158782,0.89,"{'x': 588, 'y': 205, 'w': 647, 'h': 647, 'left_eye': (1019, 454), 'right_eye': (791, 461)}","{'angry': 6.560330945148962e-06, 'disgust': 1.0299575081695878e-08, 'fear': 0.0006673034022242064, 'happy': 99.29229021072388, 'sad': 0.0006666355147899594, 'surprise': 0.00021628311515087262, 'neutral': 0.706153130158782}",Investor 2
7909,happy,0.0016597045032540336,1.1746180916816229e-05,0.029599553090520203,98.61810803413391,0.004796481516677886,0.0021280115106492303,1.343700010329485,0.89,"{'x': 604, 'y': 211, 'w': 636, 'h': 636, 'left_eye': (1027, 451), 'right_eye': (792, 463)}","{'angry': 0.0016597045032540336, 'disgust': 1.1746180916816229e-05, 'fear': 0.029599553090520203, 'happy': 98.61810803413391, 'sad': 0.004796481516677886, 'surprise': 0.0021280115106492303, 'neutral': 1.343700010329485}",Investor 2
7910,happy,0.00018046263221549452,9.550292112692205e-07,0.0007789025403326377,99.74851608276367,0.0009108794984058477,8.729498972570582e-05,0.24952602107077837,0.89,"{'x': 602, 'y': 209, 'w': 638, 'h': 638, 'left_eye': (1020, 451), 'right_eye': (787, 463)}","{'angry': 0.00018046263221549452, 'disgust': 9.550292112692205e-07, 'fear': 0.0007789025403326377, 'happy': 99.74851608276367, 'sad': 0.0009108794984058477, 'surprise': 8.729498972570582e-05, 'neutral': 0.24952602107077837}",Investor 2
7911,happy,9.470724769373344e-08,1.542754866797151e-11,1.0412737071507432e-06,99.95628595091617,8.079069628565692e-06,1.589200865703213e-06,0.043705512929850095,0.9,"{'x': 585, 'y': 198, 'w': 652, 'h': 652, 'left_eye': (1020, 451), 'right_eye': (789, 463)}","{'angry': 9.470724769373344e-08, 'disgust': 1.542754866797151e-11, 'fear': 1.0412737071507432e-06, 'happy': 99.95628595091617, 'sad': 8.079069628565692e-06, 'surprise': 1.589200865703213e-06, 'neutral': 0.043705512929850095}",Investor 2
7912,happy,7.869372659100088e-07,4.719147253013281e-10,1.064925585108607e-05,99.96474981728198,2.152474990335393e-05,4.356007301839246e-06,0.035206186462760095,0.9,"{'x': 587, 'y': 205, 'w': 647, 'h': 647, 'left_eye': (1021, 451), 'right_eye': (789, 461)}","{'angry': 7.869372659100088e-07, 'disgust': 4.719147253013281e-10, 'fear': 1.064925585108607e-05, 'happy': 99.96474981728198, 'sad': 2.152474990335393e-05, 'surprise': 4.356007301839246e-06, 'neutral': 0.035206186462760095}",Investor 2
7913,happy,0.0007459876077419211,3.5511315117918956e-06,0.0029822234823250237,99.69446657267014,0.0018082787560227704,0.0004675845326743183,0.2995289575027798,0.89,"{'x': 590, 'y': 208, 'w': 646, 'h': 646, 'left_eye': (1018, 451), 'right_eye': (790, 465)}","{'angry': 0.0007459876077419211, 'disgust': 3.5511315117918956e-06, 'fear': 0.0029822234823250237, 'happy': 99.69446657267014, 'sad': 0.0018082787560227704, 'surprise': 0.0004675845326743183, 'neutral': 0.2995289575027798}",Investor 2
7914,happy,1.2885272404616899e-06,5.759532607785278e-10,8.75437820013758e-06,99.95235204696655,2.0100328868011275e-05,7.676606372797323e-06,0.04761182062793523,0.9,"{'x': 588, 'y': 206, 'w': 646, 'h': 646, 'left_eye': (1021, 453), 'right_eye': (789, 462)}","{'angry': 1.2885272404616899e-06, 'disgust': 5.759532607785278e-10, 'fear': 8.75437820013758e-06, 'happy': 99.95235204696655, 'sad': 2.0100328868011275e-05, 'surprise': 7.676606372797323e-06, 'neutral': 0.04761182062793523}",Investor 2
7915,happy,3.4235500032680403e-06,8.321944324519697e-10,3.1236178173998425e-06,99.97328519661934,3.902469478136699e-05,2.4187867374099437e-06,0.026669887436435367,0.91,"{'x': 584, 'y': 207, 'w': 644, 'h': 644, 'left_eye': (1020, 451), 'right_eye': (789, 463)}","{'angry': 3.4235500032680403e-06, 'disgust': 8.321944324519697e-10, 'fear': 3.1236178173998425e-06, 'happy': 99.97328519661934, 'sad': 3.902469478136699e-05, 'surprise': 2.4187867374099437e-06, 'neutral': 0.026669887436435367}",Investor 2
