frame_number,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral,face_confidence,region,raw_output,source
4352,angry,80.31271696090698,0.06282723625190556,8.981049805879593,0.00031421213861904107,8.864708989858627,0.014900209498591721,1.763484627008438,0.95,"{'x': 693, 'y': 400, 'w': 566, 'h': 566, 'left_eye': (1098, 593), 'right_eye': (866, 618)}","{'angry': 80.31271696090698, 'disgust': 0.06282723625190556, 'fear': 8.981049805879593, 'happy': 0.00031421213861904107, 'sad': 8.864708989858627, 'surprise': 0.014900209498591721, 'neutral': 1.763484627008438}",Investor 1
4353,angry,91.286741648524,0.022552309161234248,4.3157277185592315,0.00011587939315044771,3.7252642929869046,0.0025098273262920768,0.6470865410073449,0.94,"{'x': 699, 'y': 407, 'w': 565, 'h': 565, 'left_eye': (1097, 601), 'right_eye': (867, 624)}","{'angry': 91.286741648524, 'disgust': 0.022552309161234248, 'fear': 4.3157277185592315, 'happy': 0.00011587939315044771, 'sad': 3.7252642929869046, 'surprise': 0.0025098273262920768, 'neutral': 0.6470865410073449}",Investor 1
4354,angry,82.44901508700667,0.0010086484215157125,4.345266002980948,2.865048372288929e-05,11.769183812238715,0.0008645045333538854,1.4346241172106127,0.92,"{'x': 696, 'y': 406, 'w': 576, 'h': 576, 'left_eye': (1100, 602), 'right_eye': (865, 627)}","{'angry': 82.44901508700667, 'disgust': 0.0010086484215157125, 'fear': 4.345266002980948, 'happy': 2.865048372288929e-05, 'sad': 11.769183812238715, 'surprise': 0.0008645045333538854, 'neutral': 1.4346241172106127}",Investor 1
4355,angry,73.16963992480756,0.0009028812034171595,0.9477472665611187,0.030371904012184855,2.8618276432958076,0.003738365112444633,22.985767068175427,0.96,"{'x': 687, 'y': 404, 'w': 582, 'h': 582, 'left_eye': (1106, 605), 'right_eye': (872, 632)}","{'angry': 73.16963992480756, 'disgust': 0.0009028812034171595, 'fear': 0.9477472665611187, 'happy': 0.030371904012184855, 'sad': 2.8618276432958076, 'surprise': 0.003738365112444633, 'neutral': 22.985767068175427}",Investor 1
4356,angry,81.52733821002701,0.0005072756871319496,0.7551681684903108,0.004788641879401319,2.424692279063735,0.0016121604961054805,15.28590205739761,0.94,"{'x': 688, 'y': 408, 'w': 583, 'h': 583, 'left_eye': (1102, 613), 'right_eye': (866, 638)}","{'angry': 81.52733821002701, 'disgust': 0.0005072756871319496, 'fear': 0.7551681684903108, 'happy': 0.004788641879401319, 'sad': 2.424692279063735, 'surprise': 0.0016121604961054805, 'neutral': 15.28590205739761}",Investor 1
4357,angry,85.84949885901801,0.004637141231705471,7.5660046974423345,0.003811306896548384,4.462427539374086,0.00479015644844157,2.1088312705654664,0.95,"{'x': 695, 'y': 424, 'w': 557, 'h': 557, 'left_eye': (1106, 610), 'right_eye': (870, 639)}","{'angry': 85.84949885901801, 'disgust': 0.004637141231705471, 'fear': 7.5660046974423345, 'happy': 0.003811306896548384, 'sad': 4.462427539374086, 'surprise': 0.00479015644844157, 'neutral': 2.1088312705654664}",Investor 1
4358,angry,92.88576330116233,0.000774305952754885,1.0985525878009095,0.00015810466427583874,4.869476870360748,0.0002449887396222365,1.1450286520983395,0.95,"{'x': 692, 'y': 429, 'w': 561, 'h': 561, 'left_eye': (1102, 617), 'right_eye': (865, 642)}","{'angry': 92.88576330116233, 'disgust': 0.000774305952754885, 'fear': 1.0985525878009095, 'happy': 0.00015810466427583874, 'sad': 4.869476870360748, 'surprise': 0.0002449887396222365, 'neutral': 1.1450286520983395}",Investor 1
4359,angry,78.6129891872406,0.05315556772984564,20.104187726974487,0.0037660513044102117,0.8260276168584824,0.03880730364471674,0.3610702231526375,0.97,"{'x': 693, 'y': 432, 'w': 547, 'h': 547, 'left_eye': (1105, 620), 'right_eye': (868, 647)}","{'angry': 78.6129891872406, 'disgust': 0.05315556772984564, 'fear': 20.104187726974487, 'happy': 0.0037660513044102117, 'sad': 0.8260276168584824, 'surprise': 0.03880730364471674, 'neutral': 0.3610702231526375}",Investor 1
4360,angry,92.19057057016246,0.00494428036467369,4.106686519779382,0.0009626699227928183,2.4014198152518493,0.0018123576978274758,1.2936034560378247,0.96,"{'x': 693, 'y': 432, 'w': 554, 'h': 554, 'left_eye': (1106, 621), 'right_eye': (866, 649)}","{'angry': 92.19057057016246, 'disgust': 0.00494428036467369, 'fear': 4.106686519779382, 'happy': 0.0009626699227928183, 'sad': 2.4014198152518493, 'surprise': 0.0018123576978274758, 'neutral': 1.2936034560378247}",Investor 1
4361,angry,54.916709661483765,0.0010962830856442451,42.4505740404129,0.0026015213734353893,2.1110987290740013,0.003539101089700125,0.5143805872648954,0.95,"{'x': 703, 'y': 438, 'w': 555, 'h': 555, 'left_eye': (1107, 623), 'right_eye': (871, 650)}","{'angry': 54.916709661483765, 'disgust': 0.0010962830856442451, 'fear': 42.4505740404129, 'happy': 0.0026015213734353893, 'sad': 2.1110987290740013, 'surprise': 0.003539101089700125, 'neutral': 0.5143805872648954}",Investor 1
